skill_group_category,isic_section_name,aggregated_num,year
Business Skills,"Arts, entertainment and recreation ",126,2015
Business Skills,Financial and insurance activities,142,2015
Business Skills,Information and communication,284,2015
Business Skills,Manufacturing,318,2015
Business Skills,Mining and quarrying,53,2015
Business Skills,Professional scientific and technical activities,415,2015
Disruptive Tech Skills,"Arts, entertainment and recreation ",17,2015
Disruptive Tech Skills,Financial and insurance activities,16,2015
Disruptive Tech Skills,Information and communication,54,2015
Disruptive Tech Skills,Manufacturing,51,2015
Disruptive Tech Skills,Mining and quarrying,9,2015
Disruptive Tech Skills,Professional scientific and technical activities,61,2015
Soft Skills,"Arts, entertainment and recreation ",52,2015
Soft Skills,Financial and insurance activities,34,2015
Soft Skills,Information and communication,88,2015
Soft Skills,Manufacturing,71,2015
Soft Skills,Mining and quarrying,11,2015
Soft Skills,Professional scientific and technical activities,131,2015
Specialized Industry Skills,"Arts, entertainment and recreation ",256,2015
Specialized Industry Skills,Financial and insurance activities,70,2015
Specialized Industry Skills,Information and communication,289,2015
Specialized Industry Skills,Manufacturing,327,2015
Specialized Industry Skills,Mining and quarrying,72,2015
Specialized Industry Skills,Professional scientific and technical activities,508,2015
Tech Skills,"Arts, entertainment and recreation ",76,2015
Tech Skills,Financial and insurance activities,58,2015
Tech Skills,Information and communication,196,2015
Tech Skills,Manufacturing,142,2015
Tech Skills,Mining and quarrying,25,2015
Tech Skills,Professional scientific and technical activities,204,2015
Business Skills,"Arts, entertainment and recreation ",126,2016
Business Skills,Financial and insurance activities,142,2016
Business Skills,Information and communication,284,2016
Business Skills,Manufacturing,318,2016
Business Skills,Mining and quarrying,53,2016
Business Skills,Professional scientific and technical activities,415,2016
Disruptive Tech Skills,"Arts, entertainment and recreation ",17,2016
Disruptive Tech Skills,Financial and insurance activities,16,2016
Disruptive Tech Skills,Information and communication,54,2016
Disruptive Tech Skills,Manufacturing,51,2016
Disruptive Tech Skills,Mining and quarrying,9,2016
Disruptive Tech Skills,Professional scientific and technical activities,61,2016
Soft Skills,"Arts, entertainment and recreation ",52,2016
Soft Skills,Financial and insurance activities,34,2016
Soft Skills,Information and communication,88,2016
Soft Skills,Manufacturing,71,2016
Soft Skills,Mining and quarrying,11,2016
Soft Skills,Professional scientific and technical activities,131,2016
Specialized Industry Skills,"Arts, entertainment and recreation ",256,2016
Specialized Industry Skills,Financial and insurance activities,70,2016
Specialized Industry Skills,Information and communication,289,2016
Specialized Industry Skills,Manufacturing,327,2016
Specialized Industry Skills,Mining and quarrying,72,2016
Specialized Industry Skills,Professional scientific and technical activities,508,2016
Tech Skills,"Arts, entertainment and recreation ",76,2016
Tech Skills,Financial and insurance activities,58,2016
Tech Skills,Information and communication,196,2016
Tech Skills,Manufacturing,142,2016
Tech Skills,Mining and quarrying,25,2016
Tech Skills,Professional scientific and technical activities,204,2016
Business Skills,"Arts, entertainment and recreation ",126,2017
Business Skills,Financial and insurance activities,142,2017
Business Skills,Information and communication,284,2017
Business Skills,Manufacturing,318,2017
Business Skills,Mining and quarrying,53,2017
Business Skills,Professional scientific and technical activities,415,2017
Disruptive Tech Skills,"Arts, entertainment and recreation ",17,2017
Disruptive Tech Skills,Financial and insurance activities,16,2017
Disruptive Tech Skills,Information and communication,54,2017
Disruptive Tech Skills,Manufacturing,51,2017
Disruptive Tech Skills,Mining and quarrying,9,2017
Disruptive Tech Skills,Professional scientific and technical activities,61,2017
Soft Skills,"Arts, entertainment and recreation ",52,2017
Soft Skills,Financial and insurance activities,34,2017
Soft Skills,Information and communication,88,2017
Soft Skills,Manufacturing,71,2017
Soft Skills,Mining and quarrying,11,2017
Soft Skills,Professional scientific and technical activities,131,2017
Specialized Industry Skills,"Arts, entertainment and recreation ",256,2017
Specialized Industry Skills,Financial and insurance activities,70,2017
Specialized Industry Skills,Information and communication,289,2017
Specialized Industry Skills,Manufacturing,327,2017
Specialized Industry Skills,Mining and quarrying,72,2017
Specialized Industry Skills,Professional scientific and technical activities,508,2017
Tech Skills,"Arts, entertainment and recreation ",76,2017
Tech Skills,Financial and insurance activities,58,2017
Tech Skills,Information and communication,196,2017
Tech Skills,Manufacturing,142,2017
Tech Skills,Mining and quarrying,25,2017
Tech Skills,Professional scientific and technical activities,204,2017
Business Skills,"Arts, entertainment and recreation ",126,2018
Business Skills,Financial and insurance activities,142,2018
Business Skills,Information and communication,284,2018
Business Skills,Manufacturing,318,2018
Business Skills,Mining and quarrying,53,2018
Business Skills,Professional scientific and technical activities,415,2018
Disruptive Tech Skills,"Arts, entertainment and recreation ",17,2018
Disruptive Tech Skills,Financial and insurance activities,16,2018
Disruptive Tech Skills,Information and communication,54,2018
Disruptive Tech Skills,Manufacturing,51,2018
Disruptive Tech Skills,Mining and quarrying,9,2018
Disruptive Tech Skills,Professional scientific and technical activities,61,2018
Soft Skills,"Arts, entertainment and recreation ",52,2018
Soft Skills,Financial and insurance activities,34,2018
Soft Skills,Information and communication,88,2018
Soft Skills,Manufacturing,71,2018
Soft Skills,Mining and quarrying,11,2018
Soft Skills,Professional scientific and technical activities,131,2018
Specialized Industry Skills,"Arts, entertainment and recreation ",256,2018
Specialized Industry Skills,Financial and insurance activities,70,2018
Specialized Industry Skills,Information and communication,289,2018
Specialized Industry Skills,Manufacturing,327,2018
Specialized Industry Skills,Mining and quarrying,72,2018
Specialized Industry Skills,Professional scientific and technical activities,508,2018
Tech Skills,"Arts, entertainment and recreation ",76,2018
Tech Skills,Financial and insurance activities,58,2018
Tech Skills,Information and communication,196,2018
Tech Skills,Manufacturing,142,2018
Tech Skills,Mining and quarrying,25,2018
Tech Skills,Professional scientific and technical activities,204,2018
Business Skills,"Arts, entertainment and recreation ",126,2019
Business Skills,Financial and insurance activities,142,2019
Business Skills,Information and communication,284,2019
Business Skills,Manufacturing,318,2019
Business Skills,Mining and quarrying,53,2019
Business Skills,Professional scientific and technical activities,415,2019
Disruptive Tech Skills,"Arts, entertainment and recreation ",17,2019
Disruptive Tech Skills,Financial and insurance activities,16,2019
Disruptive Tech Skills,Information and communication,54,2019
Disruptive Tech Skills,Manufacturing,51,2019
Disruptive Tech Skills,Mining and quarrying,9,2019
Disruptive Tech Skills,Professional scientific and technical activities,61,2019
Soft Skills,"Arts, entertainment and recreation ",52,2019
Soft Skills,Financial and insurance activities,34,2019
Soft Skills,Information and communication,88,2019
Soft Skills,Manufacturing,71,2019
Soft Skills,Mining and quarrying,11,2019
Soft Skills,Professional scientific and technical activities,131,2019
Specialized Industry Skills,"Arts, entertainment and recreation ",256,2019
Specialized Industry Skills,Financial and insurance activities,70,2019
Specialized Industry Skills,Information and communication,289,2019
Specialized Industry Skills,Manufacturing,327,2019
Specialized Industry Skills,Mining and quarrying,72,2019
